quarter_start_date,t_bill_3m,t_note_10y,term_spread,real_interest_rate,dollar_index,brent_oil,wb_commodities,bdi_avg,epu_avg,vix_avg
2008/10/1,0.307096774,3.234677419,2.927580645,-1.295819012,99.43158939,55.0284375,117.0174388,780,165.7041009,58.6046875
2009/1/1,0.211803279,2.736229508,2.52442623,0.395670494,102.3144133,44.52213115,102.0986338,1557,142.1355821,45
2009/4/1,0.17031746,3.320793651,3.15047619,1.11073764,98.12080156,58.87746032,111.73483,3012.333333,108.0282212,33.01571429
2009/7/1,0.15984375,3.5178125,3.35796875,1.766690228,94.58290625,68.13796875,119.4202479,2663.666667,105.7012242,25.48625
2009/10/1,0.060483871,3.464032258,3.403548387,-1.441096797,92.11604262,74.56578125,130.7336287,3331.666667,100.3746748,23.071875
2010/1/1,0.109836066,3.717868852,3.608032787,-2.243036996,93.10724737,76.41803279,139.3057423,2861.333333,116.2115084,20.14967213
2010/4/1,0.14828125,3.4925,3.34421875,-1.629012175,94.71885156,78.48920635,142.4782039,3279.333333,132.1134302,26.39142857
2010/7/1,0.15484375,2.78453125,2.6296875,-1.048245672,93.63393906,76.8234375,141.3069078,2375.333333,135.4562071,24.28359375
2010/10/1,0.139516129,2.878387097,2.738870968,-1.09016152,90.64960656,86.54,158.4780341,2183.333333,131.3369496,19.3184375
2011/1/1,0.126774194,3.457419355,3.330645161,-2.021533532,89.28980161,105.4496774,178.6487898,1296,114.5145878,18.61483871
2011/4/1,0.045238095,3.201428571,3.156190476,-3.30093673,86.93641875,117.012459,188.6956517,1387.333333,113.2589522,17.48238095
2011/7/1,0.025,2.41421875,2.38921875,-3.6908329,87.64447344,113.2350794,183.9158914,1594,188.890021,30.58359375
2011/10/1,0.014754098,2.046721311,2.031967213,-3.33050163,91.37396557,109.4208065,175.0322801,1849.666667,179.5942237,29.93952381
2012/1/1,0.070645161,2.04,1.969354839,-2.759294859,90.69970968,118.7106452,181.3353643,788,143.577044,18.20403226
2012/4/1,0.08828125,1.82578125,1.7375,-1.800044337,92.39792656,107.7498333,171.8185464,1027.333333,158.4605469,20.03571429
2012/7/1,0.101587302,1.641269841,1.53968254,-1.582800463,92.35402222,109.6284127,170.2951677,788.6666667,141.7010245,16.19269841
2012/10/1,0.089672131,1.70704918,1.617377049,-1.814062116,91.03736667,110.1478125,170.0930878,937,163.2728043,16.75290323
2013/1/1,0.086333333,1.951,1.864666667,-1.653983164,91.58443333,112.4433333,173.5782704,809,146.0923658,13.527
2013/4/1,0.0515625,1.98625,1.9346875,-1.363434301,92.59940156,102.5646875,166.2074939,947.6666667,124.8566835,14.83703125
2013/7/1,0.0321875,2.7065625,2.674375,-1.474150967,93.69267656,110.2285938,167.5139069,1399,123.0120105,14.2796875
2013/10/1,0.06016129,2.744193548,2.684032258,-1.147341278,93.11088525,109.2264063,165.3793271,1867.333333,133.0089603,14.2328125
2014/1/1,0.049344262,2.765409836,2.716065574,-1.380965186,94.51070526,108.1419355,167.835528,1243.333333,111.3410416,14.82885246
2014/4/1,0.033015873,2.620952381,2.587936508,-2.047335689,93.83356563,109.6940625,168.842541,909,103.8533337,12.73825397
2014/7/1,0.02640625,2.49953125,2.473125,-1.764722813,94.75031406,101.8998438,159.4064292,988.3333333,105.3152069,13.07265625
2014/10/1,0.022580645,2.275967742,2.253387097,-1.142148716,99.3125,76.42921875,136.9371613,1121,115.2112306,16.07234375
2015/1/1,0.024590164,1.968852459,1.944262295,0.137588072,105.4730169,53.97709677,114.8072956,583.3333333,119.9029664,16.5647541
2015/4/1,0.01828125,2.164375,2.14609375,-0.018576763,105.9971594,61.65111111,116.1474616,660,109.1140779,13.74015873
2015/7/1,0.04203125,2.223125,2.18109375,-0.116579707,109.6266656,50.44492308,104.5213419,978,133.0549742,19.30734375
2015/10/1,0.124193548,2.190483871,2.066290323,-0.276692961,111.4742242,43.55692308,96.20764264,594.3333333,112.1148137,17.03328125
2016/1/1,0.288032787,1.914262295,1.626229508,-0.704099273,113.6090322,33.84274194,88.62831019,358.3333333,151.3231258,20.48622951
2016/4/1,0.2575,1.75015625,1.49265625,-0.852629582,110.9159563,45.566875,100.4250964,658.3333333,167.3627889,15.6759375
2016/7/1,0.295625,1.564375,1.26875,-0.861816274,112.0512875,45.80106061,103.0433833,747.3333333,159.112058,13.23390625
2016/10/1,0.427213115,2.138688525,1.71147541,-1.379806002,115.8630426,49.05222222,107.9032101,1007.333333,180.9591842,14.09793651
2017/1/1,0.598225806,2.446612903,1.848387097,-1.989091282,116.4639623,53.59453125,114.2928531,985.3333333,225.2740743,11.69193548
2017/4/1,0.894444444,2.260952381,1.366507937,-0.996599705,113.9034813,49.5540625,108.5719019,962.6666667,165.8302261,11.42634921
2017/7/1,1.035873016,2.241428571,1.205555556,-0.90872503,109.9385841,52.09938462,111.1220452,1162,156.3346476,10.94428571
2017/10/1,1.206935484,2.371451613,1.164516129,-0.900791962,110.9747443,61.39650794,119.3517499,1488.666667,152.6158421,10.30793651
2018/1/1,1.559016393,2.75852459,1.199508197,-0.689562794,107.99647,66.86349206,126.9757745,1133,164.3235821,17.3547541
2018/4/1,1.840625,2.920625,1.08,-0.846197868,110.6175844,74.53387097,130.8552632,1272,169.1623258,15.3375
2018/7/1,2.036190476,2.923809524,0.887619048,-0.573510773,113.6483159,75.07015385,129.6873663,1622,201.0457987,12.8568254
2018/10/1,2.310819672,3.041147541,0.730327869,0.096905688,115.6988541,68.76387097,123.3908168,1330.666667,230.3931995,21.05365079
2019/1/1,2.388360656,2.65295082,0.264590164,0.758481574,114.5529559,63.09730159,118.375829,671.6666667,222.0942292,16.47
2019/4/1,2.304920635,2.338888889,0.033968254,0.482357662,115.4291453,69.03650794,119.0956037,1153.666667,249.2707867,15.18301587
2019/7/1,1.98359375,1.79796875,-0.185625,0.234103667,116.4763266,61.94575758,114.4956634,2023,262.4517582,15.96015625
2019/10/1,1.576935484,1.791935484,0.215,-0.471661704,116.4150623,63.26784615,116.1261083,1449.666667,228.475659,13.98578125
2020/1/1,1.081612903,1.365,0.283387097,-1.063428637,117.7573952,50.27484375,107.3732691,549.3333333,237.7706556,31.22451613
2020/4/1,0.142222222,0.687619048,0.545396825,-0.267079405,121.8422063,29.69901639,92.21955445,979.3333333,355.551473,34.49365079
2020/7/1,0.1134375,0.650625,0.5371875,-1.109548334,117.358425,42.91230769,106.6318847,1521,308.6878811,25.80890625
2020/10/1,0.092903226,0.864516129,0.771612903,-1.149280337,113.92367,44.31646154,117.2435483,1292,340.8060981,25.62171875
2021/1/1,0.051147541,1.335901639,1.284754098,-1.831008505,112.3746917,61.03873016,138.6466325,1724.333333,229.9439554,23.20245902
2021/4/1,0.02515625,1.59078125,1.565625,-4.768596737,111.8373984,68.98180328,153.7329546,3010.666667,182.7253707,18
2021/7/1,0.0496875,1.32484375,1.27515625,-5.221650582,113.3141391,73.50907692,166.5256466,4197,204.4134592,18.28734375
2021/10/1,0.054677419,1.533387097,1.478709677,-6.695858609,114.9794787,79.6090625,187.0936639,2918,229.4293122,19.27515625
2022/1/1,0.312580645,1.951129032,1.638548387,-7.710113858,115.4997726,100.8723438,211.8725943,1938.666667,235.8326427,25.37290323
2022/4/1,1.085483871,2.932580645,1.847096774,-7.502686662,118.9632206,113.8352459,228.7352326,2403.333333,269.1741827,27.3984375
2022/7/1,2.6690625,3.10109375,0.43203125,-5.620865783,123.5362438,100.708125,230.4612082,1540,263.4989877,24.79272727
2022/10/1,4.043770492,3.826721311,-0.21704918,-3.056054014,124.8214803,88.72365079,192.5989517,1444.333333,276.8216542,25.00265625
2023/1/1,4.630645161,3.646290323,-0.984354839,-1.112452727,120.3423435,81.0659375,175.1659404,1020,262.3897286,20.6840625
2023/4/1,5.076031746,3.595714286,-1.48031746,1.032193292,119.5896587,77.98783333,160.6559456,1214.666667,233.4695574,16.44125
2023/7/1,5.29031746,4.14968254,-1.140634921,1.725635326,120.2047556,86.65140625,162.5958988,1304.666667,192.6840656,15.01323077
2023/10/1,5.282903226,4.447096774,-0.835806452,2.046705439,121.8610754,84.01238095,164.195321,2163.333333,210.5905699,15.28625
2024/1/1,5.233934426,4.156393443,-1.077540984,1.986146014,121.0047161,82.91968254,160.3416443,1776.666667,199.1388623,13.71253968
2024/4/1,5.246190476,4.448730159,-0.797460317,2.058524174,122.8773794,84.68209677,168.6090456,1850,178.99373,13.98030769
2024/7/1,4.99796875,3.9546875,-1.04328125,2.337329149,122.9345906,80.00507692,163.922493,1868.666667,211.1513923,17.06666667
2024/10/1,4.400967742,4.275483871,-0.125483871,1.68165502,126.0080565,74.65609375,166.4513223,1246.333333,275.5797535,17.36323077
